CODE_CULTU;code;designation
CZH;5;cultures annuelles
BTH;6;cultures annuelles
BDH;6;cultures annuelles
ORH;6;cultures annuelles
TTH;6;cultures annuelles
ORP;6;cultures annuelles
PPR;7;cultures annuelles
FVL;7;cultures annuelles
MPC;7;cultures annuelles
SOJ;8;cultures annuelles
TRN;9;cultures annuelles
MIS;10;cultures annuelles
MIE;10;cultures annuelles
RIZ;11;cultures annuelles
BTN;12;cultures annuelles
PTC;12;cultures annuelles
RGA;13;cultures annuelles
PTR;13;cultures annuelles
LUZ;13;cultures annuelles
PPH;13;cultures annuelles
SPL;18;pelouse
SPH;18;pelouse
